,Per decade impact (% decade−1),,,Per degree impact (% °C−1),,,,
,Maize,Rice,Soybean,Wheat,Maize,Rice,Soybean,Wheat
Minimum,−40.0,−40.8,−30.0,−35.4,−158.7,−71.7,−112.6,−122.3
Maximum,14.2,26.2,13.8,21.2,70.8,120.7,58.3,153.7
Mean,−3.9,−1.4,−2.6,−1.8,−13.5,−2.6,−8.8,−5.6
1st quartile,−5.5,−2.5,−6.7,−3.5,−18.1,−7.1,−16.9,−10.9
Median,−2.1,−0.7,−1.2,−1.2,−7.1,−2.3,−4.0,−3.7
3rd quartile,−0.3,0.8,1.7,0.7,−1.1,2.7,6.3,2.3
Standard deviation,7,4.7,7.4,5,25.4,12,26.3,17.4
Skewness,−1.8,−2.6,−0.9,−1.7,−1.9,1,−1.1,−1.2
Kurtosis,8.6,21.9,4.7,10.8,8.6,24.4,5.2,17.4
,,,,,,,,